County,Number of Deaths
Mecklenburg,107
Guilford,83
Wake,76
Robeson,55
Cumberland,48
Forsyth,45
Davidson,37
Johnston,36
Harnett,35
Catawba,33
Randolph,31
Rowan,28
Onslow,25
New Hanover,25
Scotland,24
Buncombe,23
Pitt,23
Lenoir,22
Durham,22
Duplin,22
Iredell,22
Cabarrus,22
Union,21
Columbus,21
Nash,20
Brunswick,20
Gaston,20
Moore,19
Sampson,18
Rockingham,18
Orange,17
Wayne,16
Surry,16
Granville,16
Wilson,16
Halifax,16
Alamance,16
Craven,15
Chatham,15
Henderson,15
Hoke,15
Cleveland,14
Edgecombe,14
Pender,14
Wilkes,13
Vance,13
Lee,12
Rutherford,12
Bladen,12
Stanly,12
Franklin,12
Lincoln,11
Caldwell,11
Richmond,11
Burke,9
Haywood,9
Yadkin,9
Warren,8
Carteret,8
Pasquotank,8
Montgomery,8
McDowell,8
Jackson,8
Bertie,7
Northampton,6
Currituck,6
Greene,6
Person,6
Alexander,6
Dare,5
Anson,5
Hertford,5
Ashe,5
Davie,5
Beaufort,5
Stokes,5
Graham,4
Polk,4
Jones,3
Cherokee,3
Madison,3
Martin,3
Swain,3
Transylvania,3
Watauga,3
Alleghany,2
Gates,2
Clay,2
Washington,2
Macon,2
Pamlico,2
Perquimans,2
Mitchell,2
Caswell,2
Tyrrell,1
Camden,1
Avery,1
Yancey, 0
Chowan, 0
Hyde, 0
