"month","count","monthid","weekday"
"January","11",1,"Thursday"
"January","15",1,"Monday"
"January","22",1,"Saturday"
"January","19",1,"Wednesday"
"January","17",1,"Sunday"
"January","10",1,"Tuesday"
"January","29",1,"Friday"
"February","13",2,"Wednesday"
"February","4",2,"Thursday"
"February","11",2,"Sunday"
"February","8",2,"Monday"
"February","12",2,"Friday"
"February","10",2,"Tuesday"
"February","18",2,"Saturday"
"March","16",3,"Saturday"
"March","26",3,"Monday"
"March","16",3,"Thursday"
"March","10",3,"Wednesday"
"March","11",3,"Friday"
"March","13",3,"Tuesday"
"March","14",3,"Sunday"
"April","23",4,"Tuesday"
"April","25",4,"Sunday"
"April","25",4,"Thursday"
"April","21",4,"Wednesday"
"April","23",4,"Friday"
"April","23",4,"Saturday"
"April","21",4,"Monday"
"May","15",5,"Wednesday"
"May","13",5,"Thursday"
"May","20",5,"Sunday"
"May","23",5,"Monday"
"May","34",5,"Saturday"
"May","8",5,"Tuesday"
"May","22",5,"Friday"
"June","19",6,"Tuesday"
"June","18",6,"Saturday"
"June","17",6,"Sunday"
"June","24",6,"Friday"
"June","24",6,"Thursday"
"June","24",6,"Monday"
"June","13",6,"Wednesday"
"July","12",7,"Tuesday"
"July","27",7,"Sunday"
"July","26",7,"Saturday"
"July","28",7,"Friday"
"July","17",7,"Wednesday"
"July","15",7,"Monday"
"July","17",7,"Thursday"
"August","18",8,"Thursday"
"August","16",8,"Wednesday"
"August","13",8,"Monday"
"August","13",8,"Tuesday"
"August","17",8,"Friday"
"August","22",8,"Sunday"
"August","25",8,"Saturday"
"September","25",9,"Friday"
"September","15",9,"Saturday"
"September","17",9,"Tuesday"
"September","14",9,"Wednesday"
"September","19",9,"Monday"
"September","19",9,"Thursday"
"September","21",9,"Sunday"
"October","18",10,"Monday"
"October","25",10,"Friday"
"October","12",10,"Tuesday"
"October","19",10,"Thursday"
"October","32",10,"Sunday"
"October","32",10,"Saturday"
"October","20",10,"Wednesday"
"November","17",11,"Friday"
"November","17",11,"Thursday"
"November","13",11,"Monday"
"November","11",11,"Saturday"
"November","24",11,"Tuesday"
"November","8",11,"Wednesday"
"November","16",11,"Sunday"
"December","24",12,"Sunday"
"December","25",12,"Friday"
"December","14",12,"Monday"
"December","24",12,"Wednesday"
"December","21",12,"Saturday"
"December","14",12,"Thursday"
"December","10",12,"Tuesday"
